INSTANCE,HH00
GA-A_50_000.kp,-99.0000
GA-A_50_001.kp,-132.0000
GA-A_50_002.kp,-145.0000
GA-A_50_003.kp,-156.0000
GA-A_50_004.kp,-132.0000
GA-A_50_005.kp,-104.0000
GA-A_50_006.kp,-83.0000
GA-A_50_007.kp,-150.0000
GA-A_50_008.kp,-103.0000
GA-A_50_009.kp,-121.0000
GA-A_50_010.kp,-136.0000
GA-A_50_011.kp,-120.0000
GA-A_50_012.kp,-122.0000
GA-A_50_013.kp,-112.0000
GA-A_50_014.kp,-133.0000
GA-A_50_015.kp,-133.0000
GA-A_50_016.kp,-99.0000
GA-A_50_017.kp,-122.0000
GA-A_50_018.kp,-189.0000
GA-A_50_019.kp,-158.0000
GA-A_50_020.kp,-154.0000
GA-A_50_021.kp,-167.0000
GA-A_50_022.kp,-139.0000
GA-A_50_023.kp,-134.0000
GA-A_50_024.kp,-152.0000
GA-A_50_025.kp,-92.0000
GA-A_50_026.kp,-93.0000
GA-A_50_027.kp,-152.0000
GA-A_50_028.kp,-109.0000
GA-A_50_029.kp,-106.0000
GA-A_50_030.kp,-102.0000
GA-A_50_031.kp,-92.0000
GA-A_50_032.kp,-83.0000
GA-A_50_033.kp,-161.0000
GA-A_50_034.kp,-147.0000
GA-A_50_035.kp,-104.0000
GA-A_50_036.kp,-153.0000
GA-A_50_037.kp,-140.0000
GA-A_50_038.kp,-130.0000
GA-A_50_039.kp,-76.0000
GA-A_50_040.kp,-124.0000
GA-A_50_041.kp,-131.0000
GA-A_50_042.kp,-84.0000
GA-A_50_043.kp,-110.0000
GA-A_50_044.kp,-112.0000
GA-A_50_045.kp,-203.0000
GA-A_50_046.kp,-104.0000
GA-A_50_047.kp,-112.0000
GA-A_50_048.kp,-124.0000
GA-A_50_049.kp,-166.0000
GA-B_50_000.kp,-177.0000
GA-B_50_001.kp,-110.0000
GA-B_50_002.kp,-111.0000
GA-B_50_003.kp,-171.0000
GA-B_50_004.kp,-106.0000
GA-B_50_005.kp,-121.0000
GA-B_50_006.kp,-134.0000
GA-B_50_007.kp,-120.0000
GA-B_50_008.kp,-167.0000
GA-B_50_009.kp,-164.0000
GA-B_50_010.kp,-123.0000
GA-B_50_011.kp,-182.0000
GA-B_50_012.kp,-164.0000
GA-B_50_013.kp,-126.0000
GA-B_50_014.kp,-116.0000
GA-B_50_015.kp,-94.0000
GA-B_50_016.kp,-100.0000
GA-B_50_017.kp,-131.0000
GA-B_50_018.kp,-134.0000
GA-B_50_019.kp,-86.0000
GA-B_50_020.kp,-168.0000
GA-B_50_021.kp,-123.0000
GA-B_50_022.kp,-123.0000
GA-B_50_023.kp,-116.0000
GA-B_50_024.kp,-116.0000
GA-B_50_025.kp,-120.0000
GA-B_50_026.kp,-131.0000
GA-B_50_027.kp,-178.0000
GA-B_50_028.kp,-166.0000
GA-B_50_029.kp,-149.0000
GA-B_50_030.kp,-151.0000
GA-B_50_031.kp,-139.0000
GA-B_50_032.kp,-110.0000
GA-B_50_033.kp,-121.0000
GA-B_50_034.kp,-183.0000
GA-B_50_035.kp,-152.0000
GA-B_50_036.kp,-137.0000
GA-B_50_037.kp,-138.0000
GA-B_50_038.kp,-106.0000
GA-B_50_039.kp,-102.0000
GA-B_50_040.kp,-129.0000
